obid,time,peff,etaw,et,pr
19,2023-01-01,50.628,0.0,1.441,50.86
20,2023-01-01,49.34,0.0,2.912,50.645
21,2023-01-01,50.704,0.0,4.991,50.936
22,2023-01-01,50.148,0.0,10.001,50.364
23,2023-01-01,49.841,0.0,4.37,49.841
24,2023-01-01,50.302,0.0,5.055,50.525
